-29.5249,158,160.864
-29.8844,159,161.92
-30.2548,160,162.976
-30.6481,161,164.032
-31.0364,162,165.099
-31.4347,163,166.155
-31.8118,164,167.211
-32.1821,165,168.267
-32.5354,166,169.301
-32.8837,167,170.346
-33.227,168,171.391
-33.5812,169,172.436
-33.9295,170,173.481
-34.3079,171,174.526
-34.6963,172,175.582
-35.0806,173,176.627
-35.459,174,177.683
-35.8474,175,178.739
-36.2128,176,179.773
-36.5696,177,180.807
-36.9364,178,181.841
-37.2982,179,182.886
-37.6559,180,183.92
-38.0461,181,184.965
-38.4322,182,185.999
-38.8133,183,187.044
-39.2035,184,188.089
-39.5896,185,189.123
-39.9509,186,190.157
-40.3231,187,191.191
-40.6984,188,192.214
-41.0759,189,193.248
-41.4625,190,194.282
-41.8324,191,195.305
-42.1973,192,196.328
-42.5713,193,197.362
-42.9412,194,198.385
-43.3061,195,199.419
-43.7044,196,200.442
-44.0986,197,201.465
-44.4878,198,202.488
-44.887,199,203.522
-45.3082,200,204.556
-45.7253,201,205.579
-46.1515,202,206.602
-46.5736,203,207.636
-46.9898,204,208.659
-47.4169,205,209.693
-47.8336,206,210.716
-48.2462,207,211.728
-48.6679,208,212.751
-49.0855,209,213.774
-49.4972,210,214.797
-49.9027,211,215.809
-50.3041,212,216.81
-50.6996,213,217.822
-51.1051,214,218.834
-51.5056,215,219.857
-51.9362,216,220.869
-52.3768,217,221.881
-52.8124,218,222.893
-53.243,219,223.916
-53.6845,220,224.928
-54.1201,221,225.94
-54.5363,222,226.941
-54.9625,223,227.942
-55.3837,224,228.943
-55.7999,225,229.955
-56.2603,226,230.956
-56.7166,227,231.968
-57.167,228,232.969
-57.6283,229,233.981
-58.0837,230,234.993
-58.5053,231,235.983
-58.9288,232,236.973
-59.3473,233,237.963
-59.7608,234,238.953
-60.1843,235,239.943
-60.5893,236,240.922
-60.9902,237,241.901
-61.4002,238,242.88
-61.8052,239,243.859
-62.2061,240,244.838
-62.6818,241,245.828
-63.1525,242,246.818
-63.6191,243,247.808
-64.0957,244,248.798
-64.5664,245,249.788
-64.961,246,250.745
-65.3656,247,251.713
-65.7652,248,252.67
-66.1607,249,253.638
-66.5653,250,254.606
-66.9793,251,255.563
-67.3883,252,256.52
-67.8442,253,257.488
-68.3068,254,258.456
-68.7644,255,259.424
-69.2581,256,260.403
-69.7459,257,261.371
-70.2296,258,262.35
